country,city_name,name,address,rating,reviews_count,phone,website,business_type,hours,latitude,longitude,place_id,scraped_at
Austria,Graz,2radwelt Ltd.,"Packer Str. 131, 8561 Kleinsöding, Austria",,0,,,Motorcycle repair shop,,47.0021494,15.2737731,ChIJQ3WmUmjMb0cRSH8rHeDuhFQ,2025-10-25T02:57:41.100219
Austria,Graz,Autohaus Damisch GmbH,"Andritzer Reichsstraße 89, 8046 Graz, Austria",4.4,284,+43 316 692720,https://www.fiatauto.at/,Auto repair shop,Closed ⋅ Opens 7:30 AM Mon,47.109702,15.414504,ChIJsV8nXtM1bkcR8uKy8CrNZQk,2025-10-25T02:57:41.100258
Austria,Graz,BMW Service Denzel Graz,"Wetzelsdorfer Str. 35, 8020 Graz, Austria",4.2,892,+43 316 5070,https://www.denzel.at/standorte/denzel-graz,BMW dealer,Closed ⋅ Opens 9 AM,47.0580409,15.4127408,ChIJC9CVThQ1bkcRR43Ui3y-bXI,2025-10-25T02:57:41.100261
Austria,Graz,Baumschlager Zweirad,"Grazer Str. 31, 8071 Hausmannstätten, Austria",4.0,145,+43 3135 47416,https://www.baumschlager.at/,Motorcycle dealer,Closed ⋅ Opens 9 AM Mon,46.9940505,15.502686,ChIJzX0N4Jq0b0cRkeM93kYjZyo,2025-10-25T02:57:40.461202
Austria,Graz,Börni Vespa Repair Shop - Graz,"Harter Str. 5, 8053 Graz, Austria",5.0,73,+43 316 576352,https://boerni.cc/,Motorcycle repair shop,Closed ⋅ Opens 8 AM Mon,47.0532229,15.4150891,ChIJQ0zXh3E1bkcR-7Tu75i1XTU,2025-10-25T02:57:40.461192
Austria,Graz,Börni scooter and moped trade E.U.,"Harter Str. 110, 8053 Graz, Austria",4.8,472,+43 316 576352,http://www.boerni.cc/,Motorcycle repair shop,Closed ⋅ Opens 9 AM,47.045553,15.4066713,ChIJ7xOPcUg1bkcRMypBoSqpKJA,2025-10-25T02:57:40.461211
Austria,Graz,Clocktower Harley-Davidson Graz,"Kärntner Str. 173, 8053 Graz, Austria",4.6,1397,+43 316 258173,https://www.hdgraz.at/,Motorcycle repair shop,Closed ⋅ Opens 10 AM,47.0445859,15.4148417,ChIJByNxg081bkcRiycnpxrEFr0,2025-10-25T02:57:40.461200
Austria,Graz,Dreambikes - Austria,"Puchstraße 133, 8055 Graz, Austria",5.0,9,+43 664 1010711,,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,47.039928,15.439467,ChIJf2Pypq9KbkcRh5Mtt9NDzo0,2025-10-25T02:57:40.461207
Austria,Graz,E-Onix Scooter - Graz,"Kärntner Str. 44, 8020 Graz, Austria",4.8,78,+43 664 2006506,https://e-onix.at/,Bicycle rental service,Closed ⋅ Opens 10 AM,47.0599528,15.4198687,ChIJ43v1aas1bkcR5PGafuoul14,2025-10-25T02:57:41.724967
Austria,Graz,Euro Motors Graz,"Harter Str. 70, 8053 Graz, Austria",4.5,446,+43 316 263106,http://www.euromotorsgraz.at/,Motorcycle repair shop,Closed ⋅ Opens 8 AM Mon,47.0510819,15.4124294,ChIJK6gcO0E1bkcRh42kXBbLx3w,2025-10-25T02:57:40.461194
Austria,Graz,FLASH CYCLES e.U.,"Industriestraße 21, 8502 Lannach, Austria",5.0,15,+43 660 1013884,http://flashcycles.at/,Motorcycle repair shop,,46.9564745,15.3316799,ChIJERthYZc1bkcRikRFFkbL8cE,2025-10-25T02:57:41.100197
Austria,Graz,FORSTINGER Graz/Gösting,"Wiener Str. 339, 8051 Graz, Austria",3.7,343,+43 59 101 9807,http://www.forstinger.com/,Auto repair shop,Closed ⋅ Opens 8:30 AM,47.1040412,15.4010639,ChIJsU7UpzE0bkcRc95IdWm8VLI,2025-10-25T02:57:41.100230
Austria,Graz,FORSTINGER Graz/Wetzelsdorf,"Straßganger Str. 124, 8052 Graz, Austria",4.2,163,+43 59 101 9108,http://www.forstinger.com/,Auto repair shop,Closed ⋅ Opens 8:30 AM,47.0578335,15.3944701,ChIJNeoSfxg1bkcRCOA0vi5qEr0,2025-10-25T02:57:40.461213
Austria,Graz,Forstinger Austria GmbH,"Werschweg 6, 8054 Seiersberg, Austria",4.1,194,+43 59 101 9823,http://www.forstinger.com/,Auto repair shop,Closed ⋅ Opens 8:30 AM,47.0076614,15.4109211,ChIJrSOUnGK1b0cRNeg1boJVBbM,2025-10-25T02:57:41.100226
Austria,Graz,Forstinger Austria GmbH,"Conrad-von-Hötzendorf-Straße 145, 8010 Graz, Austria",3.7,110,+43 59 101 9029,https://forstinger.com/,Car repair and maintenance service,Closed ⋅ Opens 8:30 AM,47.0501617,15.4519999,ChIJczx5K5ZKbkcRwzwOt4BjhzU,2025-10-25T02:57:41.100233
Austria,Graz,GTS-Worx,"Triesterstraße 453, 8055 Graz, Austria",5.0,30,+43 660 7172776,https://www.gts-worx.com/,Motorcycle repair shop,Closed ⋅ Opens 9 AM Mon,47.020905,15.438031,ChIJtU-P5kW1b0cR9-IIixh386g,2025-10-25T02:57:40.461191
Austria,Graz,Geero E-Bike Store,"Kärntner Str. 390, 8054 Graz, Austria",4.4,47,+43 800 556640517,https://www.geero.at/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=geero_graz,Bicycle Shop,Closed ⋅ Opens 9 AM,47.0252547,15.3999294,ChIJ7zf8JD4Ab0cR1ocviEYq-ug,2025-10-25T02:57:41.724974
Austria,Graz,Gillich GesmbH - Galvanik und Metallverarbeitung,"Puntigamer Str. 98, 8041 Graz, Austria",4.1,71,+43 316 475545,http://www.gillich.at/,Metal finisher,Closed ⋅ Opens 7 AM Mon,47.036348,15.4471293,ChIJqYrLTbFKbkcRfOmlLjHCQVM,2025-10-25T02:57:41.100245
Austria,Graz,Glanzrad Graz,"Mariahilfer Str. 23, 8020 Graz, Austria",5.0,12,+43 664 1990288,http://www.glanzrad.at/,Bicycle Shop,Closed ⋅ Opens 1 PM Tue,47.0736959,15.4325523,ChIJ0VJd8201bkcRjSGMxKxJNpk,2025-10-25T02:57:41.724939
